Dictionary,Code,Name,Text
ETIM,EC000589,Deep fryer,A device used to fry food by immersing it in hot oil.
ETIM,EC000590,Waffle maker,"A waffle maker is a kitchen appliance designed to cook waffle batter, producing crisp, grid-patterned"
ETIM,EC000591,Rotary ironer,A laundry appliance used for pressing and ironing fabrics.
ETIM,EC000592,Facial sauna,A device that emits steam to cleanse and hydrate the face.
ETIM,EC000593,Radiator (electric),An electrically powered heating device for warming rooms.
ETIM,EC000594,Bread machine,A kitchen appliance used for baking bread automatically.
ETIM,EC000595,Sterilizer,A device used to eliminate bacteria and germs from objects.
ETIM,EC000596,Alarm clock,A clock designed to alert users at a set time.
ETIM,EC000598,Coffee maker,A machine used to brew coffee automatically.
ETIM,EC000599,PLC system power supply,A power supply unit that provides energy to a programmable logic controller system.
ETIM,EC000600,Lamp tester,A device used to check the functionality of light bulbs and lamps.
ETIM,EC000601,Measuring instrument for temperature and climate,"A device used to assess temperature, humidity, and atmospheric conditions."
ETIM,EC000602,Data rail for bus system,A conductive track used for transmitting data in a bus communication system.
ETIM,EC000603,Data rail coupler for bus system,A connector that links data rails within a bus system.
ETIM,EC000606,Air moisturizer/air refresher,A device that adds moisture or freshens indoor air.
ETIM,EC000607,Epilator,A personal care device used for removing hair from the root.
ETIM,EC000608,Labelling tape,A self-adhesive tape used for marking and identification.
ETIM,EC000609,Floor scrubbing machine,A motorized appliance used for deep cleaning floors.
ETIM,EC000610,Label maker,A device that prints adhesive labels for marking purposes.
ETIM,EC000613,Decoupling coil for internal lightning protection,Component for energy coordination of lightning current and surge arresters with application-related i
ETIM,EC000615,Venetian blind control unit,A system used to adjust the slats of Venetian blinds.
ETIM,EC000616,Rung ladder,A portable ladder with horizontal rungs for climbing.
ETIM,EC000617,Trip block for power circuit-breaker,A component that enables controlled tripping of a power circuit breaker.
ETIM,EC000618,Meat grinder,A kitchen appliance used to grind meat into smaller pieces.
ETIM,EC000619,Butt chisels,"Short, sturdy chisels used for woodworking and carving."
ETIM,EC000620,Screw assortment box,A container with a variety of screws for different applications.
ETIM,EC000621,Legend plate for control circuit devices,A button plate made of plastic or metal (not a sticker). The labelling is often engraved instead of p
ETIM,EC000623,Glue stick for glue gun,A solid adhesive rod used in hot glue guns for bonding materials.
ETIM,EC000624,Text plate for command devices,"A plate made of plastic or metal (not a sticker) that is attached next to, or around the command devi"
ETIM,EC000625,Car audio,A sound system installed in a vehicle for audio playback.
ETIM,EC000628,Refrigerator,A household appliance that keeps food and beverages cool.
ETIM,EC000629,Fridge/freezer combination,A single appliance combining both refrigeration and freezing compartments.
ETIM,EC000630,Freezer,A cooling appliance that maintains temperatures below freezing for food storage.
ETIM,EC000631,Curler set,A set of heated or non-heated rollers used for curling hair.
ETIM,EC000632,"Control switch, Joystick",A manually operated control device used for directional input.
ETIM,EC000633,Dishwasher (domestic),A kitchen appliance designed for washing dishes automatically.
ETIM,EC000634,Bus coupler for bus system,Element which serves as a universal interface that connects the device to the bus line
ETIM,EC000635,Connection-/branching terminal for bus system,Component which is used in electrical engineering for the releasable connection or the connection of 
ETIM,EC000636,Electronic insert for domestic switching devices,Electronic component for integration into an existing electrical installation system to depict inform
ETIM,EC000637,Ironing table,A flat surface designed for ironing clothes and fabrics.
ETIM,EC000638,Washing machine,A household appliance used to wash laundry.
ETIM,EC000639,Tumble dryer,A machine that dries clothes by tumbling them in heated air.
ETIM,EC000640,Soft starter,A device that gradually increases motor voltage to reduce startup strain.
ETIM,EC000641,Laser leveling device,A tool that projects a laser beam for precise alignment and leveling.
ETIM,EC000642,Answering machine,A device that records and stores voice messages from missed calls.
ETIM,EC000643,Fax,A machine that transmits and receives documents via telephone lines.
ETIM,EC000644,Portable CD player,"A compact, battery-powered device for playing CDs."
ETIM,EC000645,CD player/recorder,A device that plays and records audio CDs.
ETIM,EC000647,Radio,An electronic device that receives and plays broadcast radio signals.
ETIM,EC000648,Radio recorder,"A device that can receive, play, and record radio broadcasts."
ETIM,EC000651,Car loudspeaker,A speaker designed for use in car audio systems.
ETIM,EC000652,Loudspeaker box,A housing unit that contains and enhances the performance of speakers.
ETIM,EC000653,Dictaphone,A voice recording device used for dictation and transcription.
ETIM,EC000654,Camcorder,A portable electronic device for recording video and audio.
ETIM,EC000655,Cooker hood,"A ventilation device that removes smoke, steam, and odors from cooking areas."
ETIM,EC000656,Spin-dryer,A machine that uses high-speed spinning to remove water from clothes.
ETIM,EC000658,Accessories/spare parts for cooker hood,Replacement or additional components for cooker hoods.
ETIM,EC000661,Microwave oven,A kitchen appliance that heats food using microwave radiation.
ETIM,EC000662,Cooker,"A kitchen appliance used for boiling, baking, and frying food."
ETIM,EC000663,Headphone,A personal audio device worn over or in the ears for private listening.
ETIM,EC000664,Hob,A built-in cooking surface with burners or heating elements.
ETIM,EC000665,Exchange hotplate,A replaceable heating element used in cooking appliances.
ETIM,EC000666,HiFi/TV furniture,A piece of furniture designed to house HiFi or TV equipment.
ETIM,EC000667,Audio mixer,A device that combines and adjusts multiple audio signals.
ETIM,EC000668,HiFi-Receiver,A component that processes and amplifies audio signals for home sound systems.
ETIM,EC000669,HiFi-Tuner,A device that receives and processes radio signals for high-fidelity sound systems.
ETIM,EC000671,Current collector,Locking pliers with working head and clamping jaws for the use on energized equipment
ETIM,EC000672,Touch sensor for bus system,A sensor that detects touch input to control functions in a bus system.
ETIM,EC000673,Area/line coupler for bus system,A device that connects and manages communication between different bus segments.
ETIM,EC000674,Interface for bus system,A module that facilitates communication between a bus system and external devices.
ETIM,EC000675,Power supply for bus system,A unit that provides electrical power to components in a bus system.
ETIM,EC000676,Logic component for bus system,Element which is used to link binary signals that are received via telegrams
ETIM,EC000677,Display for bus system,A visual interface used to show information in a bus system.
ETIM,EC000678,Remote control,A handheld device used to wirelessly operate electronic equipment.
ETIM,EC000679,Popcorn machine,A kitchen appliance designed to heat and pop corn kernels.
ETIM,EC000680,DVD player/recorder,A device used to play and record digital video discs.
ETIM,EC000681,HiFi-set,A complete high-fidelity audio system.
ETIM,EC000682,Loudspeaker set,A collection of speakers designed for audio output.
ETIM,EC000683,Surge protection module,A device that protects electrical systems from voltage spikes.
ETIM,EC000684,Record player,A device that plays audio from vinyl records.
ETIM,EC000688,Binary input for bus system,A module that allows binary signals to be input into a bus system.
ETIM,EC000689,Time switch for bus system,Switching element which switches electrical loads with potential-free contacts by means of time switc
ETIM,EC000690,Video projector,A device that projects video images onto a screen or surface.
ETIM,EC000691,Insect repellent device,"A device that emits sound, light, or chemicals to repel insects."
ETIM,EC000692,Heating element (baking oven),A component that generates heat for a baking oven.
ETIM,EC000693,Mini kitchen,A compact kitchen unit that integrates essential cooking appliances.
ETIM,EC000694,Hand floodlight,"Portable, network-independent lighting with a reflector, usually tuned to high beam characteristics a"
ETIM,EC000696,Vehicle lamp,A lighting component used in vehicles for illumination or signaling.
ETIM,EC000698,Repeater for bus system,A device that amplifies and extends signals within a bus system.
ETIM,EC000699,Central device for bus system,A main control unit that manages communication within a bus system.
ETIM,EC000700,Band suppressor/choke for bus system,A component that filters and suppresses unwanted frequencies in a bus system.
ETIM,EC000701,Window opener,A mechanical or motorized device used to open and close windows.
ETIM,EC000703,Communication column,A freestanding structure used to house communication devices.
ETIM,EC000704,Core drill bit,A specialized drill bit used for cutting large circular holes.
ETIM,EC000705,Measuring instrument set,A collection of tools used for taking various measurements.
ETIM,EC000706,Console for wall duct,"Retaining element for device installation trunking for mounting on wall, ceiling or floor"
ETIM,EC000707,"Cool/freezer box, portable",A mobile cooling device that keeps food and drinks cold or frozen.
ETIM,EC000709,Socket for letterbox,A power outlet integrated into a letterbox.
ETIM,EC000712,Empty enclosure for switchgear,A protective casing designed to house switchgear components.
ETIM,EC000713,Busbar coupler,A connector used to join busbars in an electrical system.
ETIM,EC000717,Plug for telecommunication terminal strip,A connector used to interface with telecommunication terminal strips.
ETIM,EC000718,Wire-guide for LSA connection strip,A component that assists in routing wires for LSA connection strips.
ETIM,EC000719,Labelling cap for connection strips,A cap used to identify and label connection strips.
ETIM,EC000720,Labelling plate for telecommunication terminal strips,A plate used to mark and identify telecommunication terminal strips.
ETIM,EC000721,Base/base element (enclosure/cabinet),The foundational structure or mounting surface of an enclosure or cabinet.
ETIM,EC000722,On-floor installation duct,A duct designed for routing cables along the floor.
ETIM,EC000723,Dust shield for plug connections,A protective cover that prevents dust from entering plug connections.
ETIM,EC000725,Cleaning cassette/CD,A cleaning tool designed to maintain the functionality of cassette or CD players.
ETIM,EC000726,End plate for slotted cable trunking system,A closing element used at the end of a slotted cable trunking system.
ETIM,EC000727,Cover for slotted cable trunking system,Lid for a system with breakout-type side bars for the wiring installation in a control cabinet and th
ETIM,EC000728,Cover for installation duct,A protective covering used to conceal and safeguard installation ducts.
ETIM,EC000730,Discharge tube for overvoltage protection magazine,Device or component for limiting of dangerous overvoltage in electric devices or pipelines
ETIM,EC000731,Network hub,A device that connects multiple network devices for data transmission.
ETIM,EC000732,Network repeater,A device that regenerates and extends network signals.
ETIM,EC000734,Network switch,"Coupling element with the possibility of configuration management functions in computer networks, whi"
ETIM,EC000735,Print server,A device that manages print jobs for networked printers.
ETIM,EC000736,Analogue memory medium,A storage medium that records data in an analog format.
ETIM,EC000737,Heating (enclosure/cabinet),A heating element used to regulate temperature inside an enclosure or cabinet.
ETIM,EC000740,Modem,A device that enables internet access by converting digital and analog signals.
ETIM,EC000743,Insert for lock system,A component used within a lock mechanism to provide security.
ETIM,EC000744,Top-/floor element (enclosure/cabinet),A structural element forming the top or bottom of an enclosure or cabinet.
ETIM,EC000747,Door/operating panel (enclosure/cabinet),A panel that serves as a door or control interface for an enclosure or cabinet.
ETIM,EC000748,Pigtail,A short cable with connectors used for signal or power transmission.
ETIM,EC000749,Bend for subfloor installation ducting systems,"Element which is used for vertical direction changes of underfloor duct systems, for wall connections"
ETIM,EC000750,Coupler for subfloor installation duct,A connector used to join sections of subfloor installation ducts.
ETIM,EC000751,Induction lamp,A gas-discharge lamp that uses electromagnetic fields to generate light.
ETIM,EC000752,Fibre optic coupler,A device that connects and transfers light signals between optical fibers.
ETIM,EC000753,Fibre optic cable splitter,Product is used to directly connect a multi-fiber cable to a single workstation - it allows to separa
ETIM,EC000755,Anchor sleeve,A hollow insert used to improve the grip of an anchor in materials.
ETIM,EC000757,Software for bus system,"A program used for configuring, monitoring, or controlling a bus system."
ETIM,EC000758,In-ground luminaire,A lighting fixture designed for installation into the ground.
ETIM,EC000759,Splice holder,Appliance for steady connection of cable fibers with single insert fixtures
ETIM,EC000760,Hole cutter for plastics,A tool used to cut circular openings in plastic materials.
ETIM,EC000761,Labelling for terminal block,A marking system used to identify terminals in an electrical block.
ETIM,EC000762,Splice cassette,Cassette for the connection of cable fibers with single fixtures
ETIM,EC000763,Line equalizer (receiver technology),A device that compensates for signal loss in transmission lines.
ETIM,EC000766,Coding for data communication technology,"Marking element which allows the insertion orientation, or the function of a component of the data pr"
ETIM,EC000768,Multiplexer,A device that combines multiple input signals into a single output.
ETIM,EC000769,Module for telephone system,A component that expands or enhances telephone system functionality.
ETIM,EC000770,Separation plate for meter-/distribution boards,Insulated partition as a built-in element for safe division of the areas in a distribution
ETIM,EC000771,Cover strip (modular) for meter-/distribution board,A protective covering for modular elements in distribution boards.
ETIM,EC000772,Master clock,A central clock that synchronizes time across multiple devices.
ETIM,EC000773,Explosion proof hand floodlight,"Explosion-proof light with very high luminosity, mobile use and during transport network-independent"
ETIM,EC000774,Miniature fuse assortment,A collection of small fuses in various ratings for circuit protection.
ETIM,EC000775,Cover for distribution board,Hood as protection against contact with live parts with integrated outlets for modular devices
ETIM,EC000776,Pan,"A kitchen utensil used for frying, sautéing, or cooking food."
ETIM,EC000777,Baby bottle,A feeding container with a nipple for infants.
ETIM,EC000778,Telephone digital/ISDN with cord,A wired telephone that operates on digital or ISDN networks.
ETIM,EC000779,Indoor station door communication,A communication unit inside a building for managing door access.
ETIM,EC000781,Sealing for hose screw connection,A sealing component that prevents leaks in hose screw connections.
ETIM,EC000782,Access control unit for bus system,A security device that regulates entry through a bus communication system.
ETIM,EC000783,Signalling and operation panel for bus system,A control interface for monitoring and managing bus system functions.
ETIM,EC000784,Desk system (enclosure/cabinet),A furniture-integrated enclosure for organizing electronic equipment.
ETIM,EC000785,Connector for wall duct,A fitting that joins or secures sections of a wall-mounted duct.
ETIM,EC000786,Cover for plinth skirting duct,A component that fits over the skirting duct to protect and conceal the electrical cables inside. It 
ETIM,EC000787,Handset for cordless telephone,A wireless receiver unit used for cordless telephone communication.
ETIM,EC000788,Charger for cordless telephone,A power device used to recharge a cordless phone battery.
ETIM,EC000789,Headset,A combination of headphones and a microphone for communication.
ETIM,EC000792,Actuating drive for bus system,A motorized device used to control mechanical components in a bus system.
ETIM,EC000794,Analogue input for bus system,A module that processes and converts analog signals within a bus system.
ETIM,EC000795,Extension module for installation column,An additional component that attaches to an installation column to increase its capacity for housing 
ETIM,EC000796,Contact for industrial connectors,A conductive element used in heavy-duty electrical connectors.
ETIM,EC000797,USB-Hub,A device that expands a single USB port into multiple ports.
ETIM,EC000798,Test pin,A probe used to test electrical circuits and components.
ETIM,EC000799,Screw gland holder,A securing device for organizing and holding screw glands.
ETIM,EC000800,Cover strip for wall duct,A component used to conceal and protect the opening of a wall duct. It provides a finished appearance
ETIM,EC000801,Torx screwdriver,A screwdriver designed for turning Torx-headed screws.
ETIM,EC000804,Audio/video modulator,A device that converts audio and video signals for transmission.
ETIM,EC000806,Rasp (battery/electric),A powered tool used for shaping and smoothing materials.
ETIM,EC000807,Navigation system,An electronic system that provides location-based guidance.
ETIM,EC000808,Portable MP3 player,A handheld device used to store and play digital audio files.
ETIM,EC000809,Programming- and engineering software,A software package used for coding and configuring automation systems.
ETIM,EC000810,PLC mounting rack,A frame used to secure and organize programmable logic controllers.
ETIM,EC000811,Electrical chimney fire,A decorative electric heater designed to simulate a fireplace.
ETIM,EC000812,Ceiling heating foil,A thin heating element installed in ceilings for radiant heating.
ETIM,EC000813,Natural stone heating,A heating system that uses stone materials to radiate heat.
ETIM,EC000814,Threaded bush,A cylindrical metal insert with internal threading for fastening.
ETIM,EC000815,Car antenna,A radio frequency antenna designed for vehicles.
ETIM,EC000816,WLAN access point,A networking device that allows wireless devices to connect to a network.
ETIM,EC000817,WLAN network adaptor,A hardware device that enables a computer to connect to a wireless network.
ETIM,EC000818,Hexagonal key,A tool with a hexagonal shape used to turn hex screws or bolts.
ETIM,EC000819,Compact fluorescent lamp with integrated ballast,A fluorescent light bulb with a built-in ballast for energy efficiency.
ETIM,EC000820,Traffic signalling lamp,A light used in traffic systems to signal movement and control flow.
ETIM,EC000821,High pressure sodium-vapour lamp,A gas-discharge lamp that emits yellow-orange light at high pressure.
ETIM,EC000822,Low pressure sodium-vapour lamp,A gas-discharge lamp that produces monochromatic yellow light at low pressure.
ETIM,EC000823,Halogen metal halide reflector lamp,A high-intensity discharge lamp with an integrated reflector.
ETIM,EC000833,Flat nose pliers,"A hand tool with flat, broad jaws used for gripping and bending materials."
ETIM,EC000834,Round nose pliers,A hand tool with rounded jaws used for shaping wire and making loops.
ETIM,EC000835,Telephone pliers,A long-nosed plier used for gripping small wires and working in tight spaces.
ETIM,EC000836,Combination pliers,"A versatile hand tool used for gripping, cutting, and bending wire."
ETIM,EC000837,"Power cable >= 1 kV, for moving application",A flexible electrical cable rated for voltages above 1 kV used in dynamic applications.
ETIM,EC000838,Thermocouple cable,A cable used to connect thermocouples for temperature measurement.
ETIM,EC000839,Braid wire,A flexible wire composed of multiple woven strands for shielding or grounding.
ETIM,EC000842,Pipe wrench,A hand tool designed for gripping and turning pipes.
ETIM,EC000843,Signalling bell,A device that produces a ringing sound for alarms or notifications.
ETIM,EC000844,Buzzer,An electronic sound-emitting device used for alerts and alarms.
ETIM,EC000849,Outer corner for skirting duct,A fitting used to guide skirting ducts around a 90-degree turn at an external corner where two walls 
ETIM,EC000850,End piece for skirting duct,A closing element used to terminate a skirting duct section.
ETIM,EC000851,Inner corner for skirting duct,A fitting designed to enable skirting ducts to navigate a 90-degree turn along an interior corner whe
ETIM,EC000852,Flat bend for skirting duct,"A fitting used to change the direction of skirting ducts, which are conduits installed along the base"
ETIM,EC000853,Mesh cable tray,A cable support system made of wire mesh for organizing cables.
ETIM,EC000854,Cable ladder,A structural support system for routing and securing cables.
ETIM,EC000855,Air conditioner (enclosure/cabinet),A cooling unit designed for climate control inside enclosures or cabinets.
ETIM,EC000856,Corner add-on piece for cable ladder,A component used to extend or modify cable ladders at corners.
ETIM,EC000857,Corner plate for cable ladder,A reinforcing plate used to connect cable ladder sections at corners.
ETIM,EC000858,Drop-out plate for cable ladder,A component used for controlled cable exit from a cable ladder.
ETIM,EC000861,Corner add-on piece for cable tray,"Preform for cable trays, that is mounted to bridge a corner"
ETIM,EC000862,Inner corner for installation duct,A fitting used to connect installation duct sections at inner corners.
ETIM,EC000863,Outer corner for installation duct,A fitting used to connect installation duct sections at outer corners.
ETIM,EC000864,Flat bend for installation duct,A component used to route installation ducts at flat angles.
ETIM,EC000865,Tee for installation duct,"Preform for device installation duct, with which a rising or falling direction change is possible"
ETIM,EC000866,End cap for installation duct,A closing cover used to terminate an installation duct.
ETIM,EC000867,Inner corner for wall duct,A component used for routing wall ducts around inner corners.
ETIM,EC000872,Outer corner for wall duct,A component used for routing wall ducts around outer corners.
ETIM,EC000873,End piece for wall duct,A closing component used to terminate a wall duct.
ETIM,EC000874,Joint clip for wall duct,Preform for connecting two bottom parts of the device installation trunking at the splice and to conn
ETIM,EC000876,Flat bend for wall duct,A component used for routing wall ducts at flat angles.
ETIM,EC000877,Cover for flat bend wall duct,A protective cover used for a flat bend in a wall duct.
ETIM,EC000878,Cross piece for wall duct,A junction piece used to connect multiple wall ducts in a cross configuration.
ETIM,EC000879,Cable entry sleeve,"Soft device which protects the cable entry of electrical equipment against external influences, espec"
ETIM,EC000880,Seal,"A component used to prevent leakage or entry of dust, water, or air."
ETIM,EC000881,Seal wire,A wire used for security sealing or tamper-proofing applications.
ETIM,EC000882,Profile support arm for cable support system,A structural arm used to support and stabilize cable trays or ladders.
ETIM,EC000884,Connection for support arm for cable support system,A joint component that connects support arms in cable management systems.
ETIM,EC000886,Endplate and partition plate for terminal block,A component used to close and separate sections of terminal blocks.
ETIM,EC000889,Tapping screw,A self-threading screw used to fasten materials without pre-drilled holes.
ETIM,EC000891,Thread cutting screw,"A thread-cutting screw is a type of self-tapping screw designed to create or ""cut"" a thread into the "
ETIM,EC000893,Device box for subfloor installation,An enclosure used to house electrical devices in subfloor installations.
ETIM,EC000894,Cover for subfloor installation duct flush floor open,A protective cover for an open subfloor installation duct.
ETIM,EC000895,Equipped surface tank,"Element for attachment of inserts including equipping, which protrudes from the ground"
ETIM,EC000896,Ceiling bracket for cable support system,A mounting component used to secure cable trays or ladders to ceilings.
ETIM,EC000897,Feed-through terminal block,"Component which is arbitrarily aligned to be mounted securely on a carrier rail, and can be clamped w"
ETIM,EC000898,Indicator terminal block,Component with an integrated device and light emitting diode which is arbitrarily aligned to secure t
ETIM,EC000899,Fuse terminal block,Component which is used for receiving a securing element against overcurrent and which can be mounted
ETIM,EC000900,Sensor/actuator terminal block,Distribution box for effective bundling of parallel wiring
ETIM,EC000901,Ground terminal block,Component with protection fiber optics which can be arbitrarily aligned together on a mounting rail
ETIM,EC000902,(Knife) disconnect terminal block,Component which is arbitrarily aligned to secure them together on a mounting rail and has a special f
ETIM,EC000903,Component terminal block,Component with integrated element which is arbitrarily aligned to secure them together on a carrier r
ETIM,EC000904,Thermal couple terminal block,A terminal block designed for connecting thermocouple wires.
ETIM,EC000905,Earth leakage circuit breaker,"Not automatically-resetting fuse element, which protects cables from damage caused by heating due to "
ETIM,EC000906,90° connection for cable ladder to cable ladder,A joint component that allows cable ladders to connect at right angles.
ETIM,EC000907,Side profile for vertical cable ladder,A structural profile used to support vertical cable ladder sections.
ETIM,EC000908,Bottom end plate for cable tray,A closure plate used to finish the bottom section of a cable tray.
ETIM,EC000909,Acoustic baffle for wall duct,A sound-dampening component used within wall ducts.
ETIM,EC000910,End terminal,Component which encloses a cable to moisture and dirt getting in between the different components of 
ETIM,EC000911,Voltmeter selector switch,A switch used to select different voltage levels for measurement.
ETIM,EC000912,Amp meter switch,A switch used to measure and display electrical current levels.
ETIM,EC000916,Switch operating shaft,A mechanical component used to operate a switch mechanism.
ETIM,EC000926,Physical sensor for bus system,A sensor that detects physical changes and transmits data within a bus system.
ETIM,EC000927,Brightness sensor for bus system,A sensor that measures light levels and sends data to a bus system.
ETIM,EC000928,Infrared receiver,Component for receiving and implementation of infrared radiation
ETIM,EC000936,Bend for installation tubes,A curved section used to change the direction of installation tubes.
ETIM,EC000937,Terminal sleeve for installation tubes,A protective sleeve used to secure and insulate the ends of installation tubes.
ETIM,EC000938,Enlargement/reducing ring,A fitting used to transition between different tube diameters.
ETIM,EC000939,Coupler for installation tubes,A connector used to join two installation tubes.
ETIM,EC000940,Locknut for cable screw gland,A securing nut used to fasten cable glands in place.
ETIM,EC000941,Surge protection device for power supply systems,A protective device that limits voltage surges in power supply networks.
ETIM,EC000942,Surge protection device for terminal equipment,A device that protects end-user devices from electrical surges.
ETIM,EC000943,Surge protection device for data networks/MCR-technology,Component to limit dangerous overvoltages in data networks and the measuring and control technology
ETIM,EC000945,Drill,A power tool used for making holes in various materials.
ETIM,EC000981,Explosion proof emergency and security luminaire,Explosion-proof lamp for visual highlighting of safety notices and escape routes
ETIM,EC000986,Electrical unit for light-line system,A component that provides power or control for a light-line system.
ETIM,EC000987,Flashlight,"A portable, battery-powered light source."
ETIM,EC000988,Explosion proof pocket torch,"Explosion-proof portable light source with its own power supply, which is usually small enough to be "
ETIM,EC000989,Explosion proof hand luminaire,"Explosion-proof lamp, portable, universally usable and during transport network-independent"
ETIM,EC000993,Single core single insulated wire,An electrical wire with a single conductor and a single layer of insulation.
ETIM,EC000996,LED-module,A pre-assembled unit containing light-emitting diodes for illumination.
ETIM,EC001000,Separation plate for cable support system,A divider used to separate different cable runs within a support system.
ETIM,EC001001,Mounting clamp for separation plate for cable support system,A fastening device used to secure separation plates in cable support systems.
ETIM,EC001002,Cover clamp for cable support system,A component used to attach covers to cable management structures.
ETIM,EC001003,Wall- and ceiling bracket for cable support system,A mounting bracket used to attach cable supports to walls or ceilings.
ETIM,EC001004,Mounting plate for cable support system,A plate used for securing cable trays and support systems.
ETIM,EC001005,Mounting material for cable support system,Fasteners and components used for assembling cable support structures.
ETIM,EC001006,Add-on tee for cable tray,Preform for installation on cable trays for adapting a further cable tray for horizontal and vertical
ETIM,EC001007,Reducing piece for cable tray,Preform which is used for symmetrical or unilateral reduction of the width of a cable tray route
ETIM,EC001009,Separation plate for wall duct,Element which divides the device installation duct into individual chambers and thus leads to additio
ETIM,EC001010,Add-on tee for cable ladder,A T-shaped connector used to extend or modify cable ladders.
ETIM,EC001011,Reducing piece for cable ladder,A component that allows the transition between different cable ladder sizes.
ETIM,EC001012,Cover for corner for wall duct,A protective cover for corner sections of a wall duct system.
ETIM,EC001013,Separation plate for subfloor installation duct flush floor,System element which is suited for low screed structure made of cement screed and which is used for t
ETIM,EC001014,End piece for subfloor installation duct,A closing element used to terminate a subfloor installation duct.
ETIM,EC001015,Separation plate for installation duct,Element which divides the cable duct into individual chambers and thus leads to additional system iso
ETIM,EC001016,Coupler for installation duct,"Preform which allows easy extension of the skirting duct and is used in the assembly of disposals, in"
ETIM,EC001017,Cross piece for installation duct,A junction component that connects multiple installation duct sections.
ETIM,EC001018,Wire clamp for slotted cable trunking system,A securing device used to hold wires in a slotted cable trunking system.
ETIM,EC001019,Single LED,An individual light-emitting diode used for illumination or signaling.
ETIM,EC001020,Adaptor for command devices,A connecting component used to integrate command devices into a system.
ETIM,EC001021,Residual current release for power circuit breaker,A safety device that trips a circuit breaker when residual current is detected.
ETIM,EC001022,Under voltage coil,A coil that trips a circuit breaker when voltage falls below a set level.
ETIM,EC001023,Shunt release (for power circuit breaker),A device that remotely trips a power circuit breaker.
ETIM,EC001024,DIN-rail adaptor,A mounting accessory that allows components to be attached to a DIN rail.
ETIM,EC001025,Trip indicator,A visual or mechanical indicator that shows when a circuit breaker has tripped.
ETIM,EC001026,Acoustic indicator,A device that emits sound signals for alarms or notifications.
ETIM,EC001027,Potentiometer for command devices,A variable resistor used for adjusting settings in control systems.
ETIM,EC001028,"Push button, complete",A fully assembled push button for electrical control circuits.
ETIM,EC001029,"Selector switch, complete",A rotary switch used to select between different operational modes.
ETIM,EC001030,Motor operator for power circuit-breaker,A motorized device that remotely operates a power circuit breaker.
ETIM,EC001031,Electronic enclosure,A protective housing for electronic components and circuitry.
ETIM,EC001032,Text plate holder for command devices,A mounting component used to display text labels on control devices.
ETIM,EC001034,Phase coupler for bus system,A device that links electrical phases to enable bus communication.
ETIM,EC001035,Movement sensor basic element,A core component that detects motion and integrates into a sensor system.
ETIM,EC001036,Three-stage switch,Component which makes or separates an electrically conductive connection in three stages by means of 
ETIM,EC001037,Motor starter/motor starter combination,A device used to safely start and control electric motors.
ETIM,EC001038,Front element for mushroom push-button,The visible part of an emergency stop button.
ETIM,EC001040,Fuse switch disconnector,A device that combines a fuse and a switch to isolate electrical circuits.
ETIM,EC001041,End bracket for terminal block,Component which is used for the lateral fixing of terminal blocks
ETIM,EC001042,Signal tower complete,A fully assembled tower light used for visual signaling in industrial settings.
ETIM,EC001044,Mechanic interlock for switch,A mechanical device that prevents unintended switch activation.
ETIM,EC001045,Documentation,Printed or digital materials that provide information on equipment or systems.
ETIM,EC001046,In-line fuse switch disconnector base,A mounting base for an in-line fuse switch disconnector.
ETIM,EC001047,Selective main line circuit breaker,Circuit breaker which does not immediately but delayed switch off the power during a short circuit an
ETIM,EC001048,Reducing sleeve for copper DIN cable lugs and connectors,Device for use of smaller copper cross sections in larger cable lugs and connectors
ETIM,EC001049,Assortment box with heat-shrink tubing segments,A collection of heat-shrink tubes used for electrical insulation and protection.
ETIM,EC001050,Crimp cable lug for copper conductors,A terminal connector used to attach copper conductors via crimping.
ETIM,EC001051,Tubular cable lug for copper conductors,Component which ensures a simplified electrical contacting of the copper conductors of cables or sing
ETIM,EC001053,Crimp cable lug for aluminium conductors,A terminal connector used to attach aluminium conductors via crimping.
ETIM,EC001056,Mixed light lamp,"A lamp that combines multiple light sources, such as incandescent and discharge elements."
ETIM,EC001057,"Studio-, projection- and photo lamp","Artificial light source with a much higher light output and a specified color temperature, operating "
ETIM,EC001058,Tunnel luminaire,A lighting fixture designed for installation in tunnels.
ETIM,EC001059,Crimp splices for copper conductor,Component which ensures a simplified electrical contacting of the copper conductors of cables and is 
ETIM,EC001060,Crimp splices for aluminium conductor,Component which ensures a simplified electrical contacting of the aluminum conductor of cables and is
ETIM,EC001062,Branch terminal,A terminal used to create electrical branches in a circuit.
ETIM,EC001063,Connector to screw,Component which ensures a simplified electrical contacting of the conductors of cables and which is a
ETIM,EC001064,Cable branch screw clamp ring,Component which ensures a simplified electrical interconnection of the conductors of cables and which
ETIM,EC001068,Digital memory medium,A storage device used for digital data recording and retrieval.
ETIM,EC001070,Digital photo camera,A device that captures and stores images in digital format.
ETIM,EC001071,Portable DVD player/recorder,A compact device used to play and record DVDs.
ETIM,EC001072,Hood/lens for circuit control devices,A protective cover or optical component used in control devices.
ETIM,EC001080,Electronic overload relay,A relay that detects excessive current and protects motors from overload.
ETIM,EC001081,Room antenna,An indoor antenna used for receiving radio or TV signals.
ETIM,EC001082,Antenna mounting material,Components used to install and secure antennas.
ETIM,EC001083,Antenna measuring instrument,A device used to test and adjust antenna performance.
ETIM,EC001085,Operating tool for hole punch,A tool designed to operate hole punches for material perforation.
ETIM,EC001086,Shelf for soldering iron,A stand or holder designed to store a soldering iron safely.
